currency,date,Close,High,Low,Open,Volume
EUR-USD,2015-01-05,1.194643259048462,1.1975904703140259,1.1889094114303589,1.195500135421753,0
EUR-USD,2015-01-06,1.193901538848877,1.1969999074935913,1.1886931657791138,1.1938302516937256,0
EUR-USD,2015-01-07,1.1875356435775757,1.1900001764297485,1.1804006099700928,1.1874792575836182,0
EUR-USD,2015-01-08,1.1836000680923462,1.184805989265442,1.1756006479263306,1.1838942766189575,0
EUR-USD,2015-01-09,1.1796069145202637,1.1838297843933105,1.176830530166626,1.1794260740280151,0
EUR-USD,2015-01-12,1.187070369720459,1.1872000694274902,1.1788004636764526,1.1870139837265015,0
EUR-USD,2015-01-13,1.1831519603729248,1.1859019994735718,1.1756504774093628,1.1832358837127686,0
EUR-USD,2015-01-14,1.1778285503387451,1.184356927871704,1.173060417175293,1.1776759624481201,0
EUR-USD,2015-01-15,1.1785920858383179,1.1788560152053833,1.1592293977737427,1.178383708000183,0
EUR-USD,2015-01-16,1.1637378931045532,1.1650002002716064,1.1464300155639648,1.1639004945755005,0
EUR-USD,2015-01-19,1.1566041707992554,1.1638705730438232,1.155401587486267,1.156376838684082,0
EUR-USD,2015-01-20,1.1597968339920044,1.1615993976593018,1.1569199562072754,1.1597026586532593,0
EUR-USD,2015-01-21,1.1546944379806519,1.1663997173309326,1.1543744802474976,1.1546677350997925,0
EUR-USD,2015-01-22,1.1615345478057861,1.1642893552780151,1.1414000988006592,1.1616965532302856,0
EUR-USD,2015-01-23,1.1346745491027832,1.1373976469039917,1.1121799945831299,1.1346487998962402,0
EUR-USD,2015-01-26,1.1125450134277344,1.1283994913101196,1.1140819787979126,1.1140819787979126,0
EUR-USD,2015-01-27,1.1247708797454834,1.14199960231781,1.1226003170013428,1.1250998973846436,0
EUR-USD,2015-01-28,1.1367381811141968,1.138200283050537,1.1307804584503174,1.1366994380950928,0
EUR-USD,2015-01-29,1.1281461715698242,1.1368002891540527,1.126405119895935,1.1284770965576172,0
EUR-USD,2015-01-30,1.13355553150177,1.1363998651504517,1.1285994052886963,1.1337354183197021,0
EUR-USD,2015-02-02,1.1309019327163696,1.1359995603561401,1.1292927265167236,1.130467176437378,0
EUR-USD,2015-02-03,1.1341726779937744,1.1450005769729614,1.1317901611328125,1.1336969137191772,0
EUR-USD,2015-02-04,1.145737886428833,1.1484194993972778,1.1404199600219727,1.1456853151321411,0
EUR-USD,2015-02-05,1.131874680519104,1.1460003852844238,1.1316953897476196,1.131721019744873,0
EUR-USD,2015-02-06,1.147196888923645,1.147599697113037,1.132002830505371,1.1470915079116821,0
EUR-USD,2015-02-09,1.1314393281936646,1.1359995603561401,1.1271694898605347,1.1314777135849,0
EUR-USD,2015-02-10,1.1326953172683716,1.1350003480911255,1.127559781074524,1.1326054334640503,0
EUR-USD,2015-02-11,1.1321951150894165,1.1331958770751953,1.128860592842102,1.1319515705108643,0
EUR-USD,2015-02-12,1.131196141242981,1.1398193836212158,1.1306205987930298,1.130825161933899,0
EUR-USD,2015-02-13,1.140393853187561,1.1450005769729614,1.138200283050537,1.1404849290847778,0
EUR-USD,2015-02-16,1.1400039196014404,1.1435000896453857,1.1397050619125366,1.1397050619125366,0
EUR-USD,2015-02-17,1.1334012746810913,1.1442302465438843,1.1325156688690186,1.1333627700805664,0
EUR-USD,2015-02-18,1.1404719352722168,1.1415003538131714,1.1347800493240356,1.1404979228973389,0
EUR-USD,2015-02-19,1.1400039196014404,1.1450005769729614,1.135620355606079,1.1400818824768066,0
EUR-USD,2015-02-20,1.1366735696792603,1.1375994682312012,1.1282098293304443,1.1366735696792603,0
EUR-USD,2015-02-23,1.1381484270095825,1.1393024921417236,1.1296601295471191,1.1379412412643433,0
EUR-USD,2015-02-24,1.1332985162734985,1.1347401142120361,1.1290695667266846,1.1334141492843628,0
EUR-USD,2015-02-25,1.1339025497436523,1.1388003826141357,1.1337804794311523,1.1340696811676025,0
EUR-USD,2015-02-26,1.1363636255264282,1.1378804445266724,1.1202698945999146,1.1362732648849487,0
EUR-USD,2015-02-27,1.1205360889434814,1.1249998807907104,1.117680549621582,1.120360255241394,0
EUR-USD,2015-03-02,1.1161960363388062,1.1240400075912476,1.1163954734802246,1.117093801498413,0
EUR-USD,2015-03-03,1.1179054975509644,1.1214005947113037,1.115599513053894,1.1176680326461792,0
EUR-USD,2015-03-04,1.118217945098877,1.118806004524231,1.1062803268432617,1.1184055805206299,0
EUR-USD,2015-03-05,1.1082050800323486,1.1108901500701904,1.1010500192642212,1.1079963445663452,0
EUR-USD,2015-03-06,1.1032048463821411,1.103399634361267,1.0852224826812744,1.103399634361267,0
EUR-USD,2015-03-09,1.0845986604690552,1.0910003185272217,1.0837758779525757,1.0845634937286377,0
EUR-USD,2015-03-10,1.0833414793014526,1.0837054252624512,1.0705904960632324,1.0835762023925781,0
EUR-USD,2015-03-11,1.0708701610565186,1.0714553594589233,1.0561401844024658,1.070939064025879,0
EUR-USD,2015-03-12,1.0548745393753052,1.0681501626968384,1.0501554012298584,1.0549412965774536,0
EUR-USD,2015-03-13,1.0626314878463745,1.0629997253417969,1.0486302375793457,1.062597632408142,0
EUR-USD,2015-03-16,1.0481630563735962,1.0613998174667358,1.0484488010406494,1.0484488010406494,0
EUR-USD,2015-03-17,1.0572947263717651,1.064900279045105,1.055297613143921,1.057283639907837,0
EUR-USD,2015-03-18,1.0598047971725464,1.064599871635437,1.0580499172210693,1.0595914125442505,0
EUR-USD,2015-03-19,1.0849988460540771,1.0914051532745361,1.0621405839920044,1.0843987464904785,0
EUR-USD,2015-03-20,1.066894292831421,1.0814902782440186,1.065719723701477,1.067270040512085,0
EUR-USD,2015-03-23,1.0826611518859863,1.094369649887085,1.0769503116607666,1.082602620124817,0
EUR-USD,2015-03-24,1.094499111175537,1.1030004024505615,1.0893305540084839,1.0947985649108887,0
EUR-USD,2015-03-25,1.0902034044265747,1.1012972593307495,1.0910003185272217,1.0910598039627075,0
EUR-USD,2015-03-26,1.0960465669631958,1.1045196056365967,1.0912598371505737,1.0966475009918213,0
